productkey,orderquantity,salesamount,productcategorykey,cumulative_sales,orderdate
310,1,"$2,146.96",1,"$2,146.96",2010-12-29
310,2,"$4,293.92",1,"$6,440.88",2010-12-29
310,1,"$3,578.27",1,"$10,019.15",2010-12-29
314,2,"$4,293.92",1,"$14,313.07",2010-12-29
314,1,"$2,146.96",1,"$16,460.03",2010-12-29
314,1,"$2,146.96",1,"$18,606.99",2010-12-29
314,2,"$4,293.92",1,"$22,900.91",2010-12-29
314,2,"$4,293.92",1,"$27,194.83",2010-12-29
314,1,"$2,146.96",1,"$29,341.79",2010-12-29
314,1,"$2,146.96",1,"$31,488.75",2010-12-29
314,2,"$4,293.92",1,"$35,782.67",2010-12-29
314,1,"$2,146.96",1,"$37,929.63",2010-12-29
314,1,"$2,146.96",1,"$40,076.59",2010-12-29
315,8,"$6,998.35",1,"$47,074.94",2010-12-29
315,1,$874.79,1,"$47,949.73",2010-12-29
315,4,"$3,499.18",1,"$51,448.91",2010-12-29
315,1,$874.79,1,"$52,323.70",2010-12-29
315,1,$874.79,1,"$53,198.49",2010-12-29
315,1,$874.79,1,"$54,073.28",2010-12-29
315,1,$874.79,1,"$54,948.07",2010-12-29
315,2,"$1,749.59",1,"$56,697.66",2010-12-29
315,2,"$1,749.59",1,"$58,447.25",2010-12-29
315,4,"$3,499.18",1,"$61,946.43",2010-12-29
315,2,"$1,749.59",1,"$63,696.02",2010-12-29
316,2,"$1,749.59",1,"$65,445.61",2010-12-29
316,1,$874.79,1,"$66,320.40",2010-12-29
316,1,$874.79,1,"$67,195.19",2010-12-29
316,3,"$2,624.38",1,"$69,819.57",2010-12-29
316,2,"$1,749.59",1,"$71,569.16",2010-12-29
316,2,"$1,749.59",1,"$73,318.75",2010-12-29
317,4,"$3,499.18",1,"$76,817.93",2010-12-29
317,1,$874.79,1,"$77,692.72",2010-12-29
317,1,$874.79,1,"$78,567.51",2010-12-29
317,1,$874.79,1,"$79,442.30",2010-12-29
317,2,"$1,749.59",1,"$81,191.89",2010-12-29
317,1,$874.79,1,"$82,066.68",2010-12-29
317,3,"$2,624.38",1,"$84,691.06",2010-12-29
317,1,$874.79,1,"$85,565.85",2010-12-29
319,2,"$1,749.59",1,"$87,315.44",2010-12-29
319,3,"$2,624.38",1,"$89,939.82",2010-12-29
319,1,$874.79,1,"$90,814.61",2010-12-29
319,1,$874.79,1,"$91,689.40",2010-12-29
319,2,"$1,749.59",1,"$93,438.99",2010-12-29
319,3,"$2,624.38",1,"$96,063.37",2010-12-29
319,6,"$5,248.76",1,"$101,312.13",2010-12-29
319,3,"$2,624.38",1,"$103,936.51",2010-12-29
319,6,"$5,248.76",1,"$109,185.27",2010-12-29
319,2,"$1,749.59",1,"$110,934.86",2010-12-29
319,1,$874.79,1,"$111,809.65",2010-12-29
319,1,$874.79,1,"$112,684.44",2010-12-29
319,2,"$1,749.59",1,"$114,434.03",2010-12-29
319,2,"$1,749.59",1,"$116,183.62",2010-12-29
319,8,"$6,998.35",1,"$123,181.97",2010-12-29
319,3,"$2,624.38",1,"$125,806.35",2010-12-29
322,3,"$1,258.38",1,"$127,064.73",2010-12-29
322,2,$838.92,1,"$127,903.65",2010-12-29
322,4,"$1,677.84",1,"$129,581.49",2010-12-29
322,7,"$2,936.21",1,"$132,517.70",2010-12-29
322,3,"$1,258.38",1,"$133,776.08",2010-12-29
322,1,$419.46,1,"$134,195.54",2010-12-29
322,7,"$2,936.21",1,"$137,131.75",2010-12-29
322,1,$419.46,1,"$137,551.21",2010-12-29
322,1,$419.46,1,"$137,970.67",2010-12-29
322,1,$419.46,1,"$138,390.13",2010-12-29
322,7,"$2,936.21",1,"$141,326.34",2010-12-29
322,2,$838.92,1,"$142,165.26",2010-12-29
322,2,$838.92,1,"$143,004.18",2010-12-29
322,2,$838.92,1,"$143,843.10",2010-12-29
