productkey,orderquantity,salesamount,productcategorykey,cumulative_sales,orderdate
310,2,"$4,293.92",1,"$4,293.92",2010-12-29
310,1,"$3,578.27",1,"$7,872.19",2010-12-29
310,1,"$2,146.96",1,"$10,019.15",2010-12-29
314,1,"$2,146.96",1,"$12,166.11",2010-12-29
314,2,"$4,293.92",1,"$16,460.03",2010-12-29
314,1,"$2,146.96",1,"$18,606.99",2010-12-29
314,2,"$4,293.92",1,"$22,900.91",2010-12-29
314,1,"$2,146.96",1,"$25,047.87",2010-12-29
314,1,"$2,146.96",1,"$27,194.83",2010-12-29
314,1,"$2,146.96",1,"$29,341.79",2010-12-29
314,2,"$4,293.92",1,"$33,635.71",2010-12-29
314,1,"$2,146.96",1,"$35,782.67",2010-12-29
314,2,"$4,293.92",1,"$40,076.59",2010-12-29
315,8,"$6,998.35",1,"$47,074.94",2010-12-29
315,4,"$3,499.18",1,"$50,574.12",2010-12-29
315,4,"$3,499.18",1,"$54,073.30",2010-12-29
315,1,$874.79,1,"$54,948.09",2010-12-29
315,2,"$1,749.59",1,"$56,697.68",2010-12-29
315,1,$874.79,1,"$57,572.47",2010-12-29
315,1,$874.79,1,"$58,447.26",2010-12-29
315,1,$874.79,1,"$59,322.05",2010-12-29
315,2,"$1,749.59",1,"$61,071.64",2010-12-29
315,2,"$1,749.59",1,"$62,821.23",2010-12-29
315,1,$874.79,1,"$63,696.02",2010-12-29
316,2,"$1,749.59",1,"$65,445.61",2010-12-29
316,3,"$2,624.38",1,"$68,069.99",2010-12-29
316,1,$874.79,1,"$68,944.78",2010-12-29
316,2,"$1,749.59",1,"$70,694.37",2010-12-29
316,2,"$1,749.59",1,"$72,443.96",2010-12-29
316,1,$874.79,1,"$73,318.75",2010-12-29
317,1,$874.79,1,"$74,193.54",2010-12-29
317,1,$874.79,1,"$75,068.33",2010-12-29
317,3,"$2,624.38",1,"$77,692.71",2010-12-29
317,2,"$1,749.59",1,"$79,442.30",2010-12-29
317,1,$874.79,1,"$80,317.09",2010-12-29
317,1,$874.79,1,"$81,191.88",2010-12-29
317,4,"$3,499.18",1,"$84,691.06",2010-12-29
317,1,$874.79,1,"$85,565.85",2010-12-29
319,3,"$2,624.38",1,"$88,190.23",2010-12-29
319,3,"$2,624.38",1,"$90,814.61",2010-12-29
319,6,"$5,248.76",1,"$96,063.37",2010-12-29
319,1,$874.79,1,"$96,938.16",2010-12-29
319,3,"$2,624.38",1,"$99,562.54",2010-12-29
319,2,"$1,749.59",1,"$101,312.13",2010-12-29
319,1,$874.79,1,"$102,186.92",2010-12-29
319,2,"$1,749.59",1,"$103,936.51",2010-12-29
319,1,$874.79,1,"$104,811.30",2010-12-29
319,2,"$1,749.59",1,"$106,560.89",2010-12-29
319,6,"$5,248.76",1,"$111,809.65",2010-12-29
319,2,"$1,749.59",1,"$113,559.24",2010-12-29
319,2,"$1,749.59",1,"$115,308.83",2010-12-29
319,8,"$6,998.35",1,"$122,307.18",2010-12-29
319,3,"$2,624.38",1,"$124,931.56",2010-12-29
319,1,$874.79,1,"$125,806.35",2010-12-29
322,3,"$1,258.38",1,"$127,064.73",2010-12-29
322,3,"$1,258.38",1,"$128,323.11",2010-12-29
322,1,$419.46,1,"$128,742.57",2010-12-29
322,2,$838.92,1,"$129,581.49",2010-12-29
322,7,"$2,936.21",1,"$132,517.70",2010-12-29
322,1,$419.46,1,"$132,937.16",2010-12-29
322,2,$838.92,1,"$133,776.08",2010-12-29
322,2,$838.92,1,"$134,615.00",2010-12-29
322,1,$419.46,1,"$135,034.46",2010-12-29
322,1,$419.46,1,"$135,453.92",2010-12-29
322,7,"$2,936.21",1,"$138,390.13",2010-12-29
322,7,"$2,936.21",1,"$141,326.34",2010-12-29
322,4,"$1,677.84",1,"$143,004.18",2010-12-29
322,2,$838.92,1,"$143,843.10",2010-12-29
324,1,$419.46,1,"$144,262.56",2010-12-29
324,3,"$1,258.38",1,"$145,520.94",2010-12-29
324,2,$838.92,1,"$146,359.86",2010-12-29
324,4,"$1,677.84",1,"$148,037.70",2010-12-29
324,3,"$1,258.38",1,"$149,296.08",2010-12-29
324,2,$838.92,1,"$150,135.00",2010-12-29
324,2,$838.92,1,"$150,973.92",2010-12-29
324,2,$838.92,1,"$151,812.84",2010-12-29
326,1,$419.46,1,"$152,232.30",2010-12-29
326,1,$419.46,1,"$152,651.76",2010-12-29
326,2,$838.92,1,"$153,490.68",2010-12-29
326,3,"$1,258.38",1,"$154,749.06",2010-12-29
326,5,"$2,097.29",1,"$156,846.35",2010-12-29
326,1,$419.46,1,"$157,265.81",2010-12-29
326,2,$838.92,1,"$158,104.73",2010-12-29
326,1,$419.46,1,"$158,524.19",2010-12-29
326,3,"$1,258.38",1,"$159,782.57",2010-12-29
326,9,"$3,775.13",1,"$163,557.70",2010-12-29
326,6,"$2,516.75",1,"$166,074.45",2010-12-29
326,1,$419.46,1,"$166,493.91",2010-12-29
326,5,"$2,097.29",1,"$168,591.20",2010-12-29
326,4,"$1,677.84",1,"$170,269.04",2010-12-29
328,1,$419.46,1,"$170,688.50",2010-12-29
328,1,$419.46,1,"$171,107.96",2010-12-29
328,3,"$1,258.38",1,"$172,366.34",2010-12-29
328,1,$419.46,1,"$172,785.80",2010-12-29
328,1,$419.46,1,"$173,205.26",2010-12-29
328,1,$419.46,1,"$173,624.72",2010-12-29
328,1,$419.46,1,"$174,044.18",2010-12-29
328,2,$838.92,1,"$174,883.10",2010-12-29
328,3,"$1,258.38",1,"$176,141.48",2010-12-29
328,6,"$2,516.75",1,"$178,658.23",2010-12-29
330,2,$838.92,1,"$179,497.15",2010-12-29
330,2,$838.92,1,"$180,336.07",2010-12-29
330,3,"$1,258.38",1,"$181,594.45",2010-12-29
330,3,"$1,258.38",1,"$182,852.83",2010-12-29
330,1,$419.46,1,"$183,272.29",2010-12-29
330,1,$419.46,1,"$183,691.75",2010-12-29
330,2,$838.92,1,"$184,530.67",2010-12-29
332,2,$838.92,1,"$185,369.59",2010-12-29
332,5,"$2,097.29",1,"$187,466.88",2010-12-29
332,3,"$1,258.38",1,"$188,725.26",2010-12-29
332,2,$838.92,1,"$189,564.18",2010-12-29
